"269","professional:lawyers","Legal"
"27","education:collegeuniv","Adult Education"
"270","professional:lawyers","Credit Counseling and Bankruptcy Services"
"271","professional","Immigration"
"272","financialservices:insurance","Insurance"
"273","homeservices:contractors","Machine Shops"
"274","professional","Management"
"275","shopping","Manufacturing"
"277","professional","Personal Care"
"278","professional","Dry Cleaning, Ironing and Laundry"
"279","health","Hair Removal"
"28","shopping","Art Lessons and Schools"
"280","beautysvc","Beauty Salons and Barbers"
"281","beautysvc","Manicures and Pedicures"
"282","beautysvc","Massage Clinics and Therapists"
"284","health","Skin Care"
"285","beautysvc","Spas"
"286","beautysvc","Tanning Salons"
"287","beautysvc:tattoo","Tattooing"
"288","shopping","Printing, Copying and Signage"
"289","homeservices:homecleaning","Professional Cleaning"
"29","education:collegeuniv","Colleges and Universities"
"290","professional:advertising","Publishing"
"291","realestate","Real Estate"
"292","realestate","Property Management"
"293","realestate","Real Estate Agents"
"294","financialservices","Real Estate Appraiser"
"295","realestate","Real Estate Development and Title Companies"
"296","realestate","Apartments, Condos, and Houses"
"298","professional","Building and Land Surveyors"
"299","realestate","Commercial Real Estate"
"30","education","Computer Training"
"300","realestate","Corporate Housing"
"301","homeservices","Renewable Energy"
"302","restaurants","Repair Services"
"303","professional","Shipping, Freight, and Material Transportation"
"304","shopping","Tailors"
"305","pets:vet","Veterinarians"
"306","professional:web_design","Web Design and Development"
"307","auto","Wholesale"
"308","active:boating","Social"
"309","eventservices","Arts"
"310","shopping","Art Dealers and Galleries"
"311","publicservicesgovt:landmarks","Museums"
"312","nightlife:bars","Bars"
"313","restaurants","Hotel Lounges"
"315","restaurants","Sports Bars"
"316","food","Wine Bars"
"317","active:recreation","Entertainment"
"318","active","Adult Entertainment"
"319","active:amusementparks","Amusement Parks"
"32","education:specialtyschools:driving_schools","Driving Schools"
"320","active:bowling","Billiard and Pool"
"321","nightlife","Bingo"
"322","active:bowling","Bowling"
"324","hotelstravel:hotels","Casinos and Gaming"
"329","nightlife:bars:hookah_bars","Hookah Lounges"
"331","active:mini_golf","Miniature Golf"
"332","religiousorgs","Movie Theatres"
"333","professional","Music and Show Venues"
"334","nightlife:bars","Night Clubs"
"335","active:gymnastics","Party Centers"
"338","restaurants","Food and Dining"
"339","food:bagels","Bagels and Donuts"
"34","education","Primary and Secondary Schools"
"340","food:bakeries","Bakeries"
"341","food:breweries","Breweries"
"342","food:coffee","Cafes, Coffee and Tea Houses"
"343","restaurants","Dessert"
"344","restaurants","Ice Cream Parlors"
"346","hotelstravel:transport:limos","Juice Bars and Smoothies"
"347","restaurants","Restaurants"
"348","restaurants","American"
"349","restaurants","Barbecue"
"35","education","Tutoring and Educational Services"
"351","restaurants","Burgers"
"352","restaurants","Chinese"
