"eventservices:partysupplies","445","Party Supplies"
"eventservices:photographers","449","Photography"
"eventservices:photographers:eventphotography","176","Wedding and Bridal"
"eventservices:photographers:sessionphotography","449","Photography"
"eventservices:venues","217","Events and Event Planning"
"eventservices:videographers","215","Media"
"eventservices:wedding_planning","176","Wedding and Bridal"
"financialservices","272","Insurance"
"financialservices:banks","221","Banking and Finance"
"financialservices:financialadvising","225","Financial Planning and Investments"
"financialservices:insurance","272","Insurance"
"financialservices:investing","225","Financial Planning and Investments"
"financialservices:paydayloans","227","Loans and Mortgages"
"financialservices:taxservices","220","Accounting and Bookkeeping"
"food","171","Supermarkets and Groceries"
"food:bagels","339","Bagels and Donuts"
"food:bakeries","340","Bakeries"
"food:beer_and_wine","150","Beer, Wine and Spirits"
"food:breweries","341","Breweries"
"food:butcher","443","Meat and Seafood"
"food:coffee","342","Cafes, Coffee and Tea Houses"
"food:convenience","138","Convenience Stores"
"food:desserts","151","Candy Stores"
"food:donuts","339","Bagels and Donuts"
"food:farmersmarket","171","Supermarkets and Groceries"
"food:fooddeliveryservices","347","Restaurants"
"food:foodtrucks","348","American"
"food:gelato","80","Pharmacies"
"food:gourmet","171","Supermarkets and Groceries"
"food:gourmet:candy","151","Candy Stores"
"food:gourmet:cheese","149","Food and Beverage"
"food:gourmet:ethnicmarkets","171","Supermarkets and Groceries"
"food:gourmet:healthmarkets","171","Supermarkets and Groceries"
"food:gourmet:herbsandspices","149","Food and Beverage"
"food:gourmet:meats","443","Meat and Seafood"
"food:grocery","171","Supermarkets and Groceries"
"food:icecream","347","Restaurants"
"food:juicebars","347","Restaurants"
"food:pretzels","355","Fast Food"
"food:tea","347","Restaurants"
"food:wineries","370","Wineries and Vineyards"
"health","69","Dentists"
"health:acupuncture","73","Acupuncture"
"health:c_and_mh","77","Counseling and Therapy"
"health:cannabis_clinics","72","Holistic, Alternative and Naturopathic Medicine"
"health:chiropractors","68","Chiropractors"
"health:dentists","69","Dentists"
"health:dentists:cosmeticdentists","69","Dentists"
"health:dentists:endodontists","69","Dentists"
"health:dentists:generaldentistry","69","Dentists"
"health:dentists:oralsurgeons","69","Dentists"
"health:dentists:orthodontists","69","Dentists"
"health:dentists:pediatric_dentists","69","Dentists"
"health:dentists:periodontists","69","Dentists"
"health:diagnosticservices","89","Gastroenterologists"
"health:diagnosticservices:diagnosticimaging","74","Hospitals, Clinics and Medical Centers"
"health:hearingaidproviders","83","Physicians"
"health:homehealthcare","65","Home Health Care Services"
"health:hospice","79","Nurses"
"health:hospitals","74","Hospitals, Clinics and Medical Centers"
"health:laserlasikeyes","95","Ophthalmologists"
"health:massage_therapy","282","Massage Clinics and Therapists"
"health:medcenters","83","Physicians"
"health:medicalspa","285","Spas"
"health:midwives","93","Obstetricians and Gynecologists"
"health:nutritionists","106","Weight Loss and Nutritionists"
"health:occupationaltherapy","83","Physicians"
"health:optometrists","466","Optometrist"
"health:physicaltherapy","82","Sports Medicine"
"health:physicians","83","Physicians"
"health:physicians:allergist","90","General Surgery"
"health:physicians:audiologist","75","Medical Supplies and Labs"
"health:physicians:cardiology","83","Physicians"
"health:physicians:cosmeticsurgeons","99","Plastic Surgeons"
"health:physicians:dermatology","86","Dermatologists"
"health:physicians:earnosethroat","83","Physicians"
"health:physicians:familydr","83","Physicians"
"health:physicians:fertility","93","Obstetricians and Gynecologists"
"health:physicians:gastroenterologist","83","Physicians"
"health:physicians:internalmed","91","Internal Medicine"
"health:physicians:naturopathic","72","Holistic, Alternative and Naturopathic Medicine"
"health:physicians:neurologist","92","Neurologists"
"health:physicians:obgyn","93","Obstetricians and Gynecologists"
"health:physicians:oncologist","90","General Surgery"
"health:physicians:opthamalogists","95","Ophthalmologists"
"health:physicians:orthopedists","96","Orthopedic Surgeons"
"health:physicians:osteopathicphysicians","83","Physicians"
"health:physicians:pediatricians","98","Pediatricians"
"health:physicians:podiatrists","104","Podiatrists"
"health:physicians:psychiatrists","83","Physicians"
"health:physicians:pulmonologist","83","Physicians"
"health:physicians:sportsmed","82","Sports Medicine"
"health:physicians:tattooremoval","279","Hair Removal"
"health:physicians:urologists","103","Urologists"
"health:rehabilitation_center","66","Facilities and Nursing Homes"
"health:retirement_homes","66","Facilities and Nursing Homes"
"health:speech_therapists","97","Pathologists"
"health:urgent_care","74","Hospitals, Clinics and Medical Centers"
"health:weightlosscenters","106","Weight Loss and Nutritionists"
"homeservices","239","Contractors"
"homeservices:blinds","243","Doors and Windows"
"homeservices:buildingsupplies","239","Contractors"
"homeservices:carpeting","238","Carpet and Flooring"
"homeservices:carpetinstallation","238","Carpet and Flooring"
"homeservices:contractors","239","Contractors"
"homeservices:damagerestoration","239","Contractors"
"homeservices:electricians","244","Electricians"
"homeservices:flooring","238","Carpet and Flooring"
"homeservices:garage_door_services","245","Fences, Fireplaces and Garage Doors"
"homeservices:gardeners","253","Landscaping and Gardeners"
"homeservices:handyman","239","Contractors"
"homeservices:home_inspectors","249","Home Inspection Services"
"homeservices:home_organization","239","Contractors"
"homeservices:homecleaning","289","Professional Cleaning"
"homeservices:hometheatreinstallation","133","Computers and Electronics"
"homeservices:homewindowtinting","243","Doors and Windows"
"homeservices:hvac","247","Heating, Ventilating and Air Conditioning"
"homeservices:interiordesign","251","Interior Design"
"homeservices:irrigation","253","Landscaping and Gardeners"
"homeservices:isps","189","Telecommunication Services"
"homeservices:landscapearchitects","236","Architects"
"homeservices:landscaping","253","Landscaping and Gardeners"
"homeservices:lighting","254","Lighting Fixtures"
"homeservices:locksmiths","177","Businesses and Services"
"homeservices:masonry_concrete","239","Contractors"
"homeservices:movers","256","Movers"
"homeservices:painters","257","Painting"
"homeservices:plumbing","259","Plumbing"
