"[""active:golf""]",55283ad8-3891-4c9a-a12b-219b6724afe7,AG-WFJX77DX,"""http://www.whitehorsegolf.com/""","""White Horse Golf Club"""
"[""active:fitness:healthtrainers""]",ddac52c6-a8f9-492f-abb6-38a64fe50768,AG-SPNZNMW9,"""http://redefinerva.com/""","""ReDefineRVA Personal Training Studio"""
"[""active:fitness"",""active:fitness""]",71bfea07-75f7-43b5-aaa7-2a23feccf4c2,AG-PT9ZF66W,"""http://www.thelittlegym.com/""","""Little Gym of Brooklyn Heights"""
"[""active""]",0d4782f7-08a8-4694-ad81-7abbc0a06b9d,AG-PSHCQWWB,"""http://www.familylanes.com/""","""Family Lanes & Amusements"""
"[""active:zoos""]",bd320093-670d-473d-97ba-3b88e158b7fe,AG-V4FKF9Q2,"""http://www.animalsafari.com/MO/""","""Wild Animal Safari"""
"[""active"",""health:physicaltherapy"",""health:physicians:sportsmed""]",2ea9873f-2354-413d-9887-dbe6ba6c9a03,AG-DG2MFP7F,"""http://www.armstrongphysio.com/""","""Armstrong's Physiotherapy Clinic - Lenore Drive"""
"[""active""]",5feb8a2c-0ee1-4241-9f2f-336d453ba5fe,AG-KLCQD79Z,"""http://www.leisuretimegolfcars.com""","""LeisureTime Golf Cars"""
"[""active:gymnastics""]",e721f7af-bdfa-4e8f-90e5-888973610a78,AG-RN7MWQTW,"""http://www.thelittlegym.com/roxburynj""","""The Little Gym of Roxbury"""
"[""active:fitness""]",cb67e378-6025-413b-87cc-74ad733f2132,AG-ZZZQBMDS,"""http://www.mbgoldglove.com/""","""Gold Glove Academy"""
"[""active:recreation""]",24e8eaff-77ab-478c-81a0-4b5ecf5ba78f,AG-Q8KH73P4,"""http://www.skyzone.com/omaha""","""Sky Zone Trampoline Park"""
"[""active""]",1ede346f-b3f9-4f33-93de-f1d0e6bd9dc6,AG-SXQKTQG3,"""http://parkerclinic.com/""","""Parker Chiropractic Clinic"""
"[""active:fitness:gyms""]",afc6d087-55a8-4a7a-91bb-8df0e56986b2,AG-RLNR7ZLS,"""http://www.steelmonkeyfitness.com/home.html""","""Steel Monkey Crossfit"""
