active:fitness,0fb74d81-04e4-4f39-b4bc-b6913299642b,AG-DZ92RTZ4,"""http://www.ymcabroome.org/""","""YMCA of Broome County""",
active,30cf5a7c-7232-4066-9488-99308ee2e310,AG-KJ3BMB35,"""http://www.blackhawkengineering.com/""","""Blackhawk Engineering Inc""",273
active:fitness:martialarts,8c758547-05e6-47f6-a914-733f75c82586,AG-GH72PGCH,"""http://www.warriorfitnesscenter.com/""","""Warrior Fitness Center""",385
active:fitness,01a5c7db-8126-477d-83e7-205ecca20ba9,AG-XR2ZNBG3,"""http://www.facebook.com/trainerschoice""","""Trainers Choice Vitamins Supplements and Nutritional Products""",230
active:rafting,4b1c529f-4e4c-4eea-9ff8-2cc075d81baf,AG-J242PSG6,"""http://www.tubesanmarcos.com/""","""San Marcos Lions Club""",461
active,69b33bb2-0f0a-4650-9a79-b992eb3cbd02,AG-RGT7SX99,null,"""Delta Boat Works""",409
active,ac004a60-a7b4-4a12-8257-d574946c4a16,AG-LQ78V3PD,"""http://www.crsummit.com/""","""CR Summit / Horse Riding""",372
active:fitness:gyms,c7d411c4-75be-4cbd-84dd-64b2495a046e,AG-DHBZWFSX,"""http://www.flipsgymnasticscenter.com/""","""Flips Gymnastics Center""",385
active:bikerentals,07ee90e7-1cc5-4670-8697-44a2947fa0e3,AG-JBNRVPPD,"""http://www.wheelexcitement.com/""","""Wheel Excitement Inc""",378
active:fitness,884b926f-929a-47bd-a241-97459ff2eb96,AG-RQZG6ZSR,"""http://www.thelittlegym.com/waynenj""","""The Little Gym of Wayne""",377
active,26a750e1-1fc8-4f14-9d73-d6a6821055c5,AG-BMGG3HWP,"""http://www.coasthealthandnutrition.com/""","""Coast Health & Nutrition""",149
active,d1217696-e6cd-462b-a782-41271e23f1fd,AG-QVGH5LKC,"""http://www.planetfitness.com""","""Planet Fitness""",385
active:fitness,6a2e3e6f-5699-4be0-9b9e-cabbae4bea2d,AG-Q4K2K8GM,"""http://www.thelittlegym.com/smyrnaga""","""The Little Gym of Smyrna""",379
